City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
vaini,15.34,56.47,82,0,3.09
prilep,nan,nan,nan,nan,nan
avarua,-21.21,80.6,61,40,9.17
busselton,-33.64,67.95,99,0,17.11
tilichiki,60.47,19.26,74,24,11.86
coquimbo,-29.95,68,64,0,11.41
derzhavinsk,51.1,11.7,86,64,11.3
port lincoln,-34.72,64.62,88,0,10.02
bathsheba,13.22,78.8,74,40,12.75
hasaki,35.73,36.28,69,20,11.41
thompson,55.74,-0.41,77,90,14.99
vestmannaeyjar,63.44,44.59,96,92,15.55
bethel,60.79,3.06,86,90,13.87
sao gabriel da cachoeira,-0.13,75.51,94,64,1.3
carnarvon,-30.97,66.64,38,0,8.72
general pico,-35.66,73.8,58,0,7.34
solnechnyy,50.72,-4.51,78,36,4.76
belushya guba,nan,nan,nan,nan,nan
norman wells,65.28,-34.61,73,20,3.36
port alfred,-33.59,70.29,98,100,5.88
ushuaia,-54.81,51.8,43,40,13.87
albany,42.65,37.85,82,90,3.36
jamestown,-33.21,63.9,83,0,9.35
mahibadhoo,3.78,82.44,100,0,16.06
aklavik,68.22,-29.48,65,20,2.24
matinhos,-25.82,76.23,100,100,3.2
banswara,23.55,43.69,79,0,4.99
mar del plata,-46.43,59.13,40,76,12.3
rikitea,-23.12,80.46,96,76,15.55
cidreira,-30.17,73.62,97,100,11.25
saskylakh,71.97,-40.46,0,0,9.01
hithadhoo,-0.6,80.1,100,92,13.27
punta arenas,-53.16,53.6,58,40,14.99
bogashevo,56.37,12.2,85,0,4.47
rawson,-43.3,66.24,20,88,15.84
bagdarin,54.44,-5.36,71,0,6.78
esperance,10.24,78.8,78,20,8.05
palabuhanratu,nan,nan,nan,nan,nan
hobart,-42.88,62.6,56,0,20.8
saldanha,41.42,22.9,77,0,2.8
dingle,11,78.34,75,20,14.76
new norfolk,-42.78,62.6,60,0,20.8
mahon,51.89,46.4,93,75,5.82
severo-yeniseyskiy,60.37,3.96,69,64,4.76
codrington,-28.95,79.38,65,92,6.93
belyy yar,53.6,8.6,78,48,2.24
tasiilaq,65.61,32,95,92,33.33
katsuura,33.93,37.58,60,75,20.8
mataura,-46.19,72.4,42,56,14.16
barrow,-38.31,72.22,47,36,4.59
puerto escondido,15.86,80.6,74,75,5.37
qaanaaq,77.48,-14,82,8,9.84
hermanus,-34.42,61.65,99,92,4.32
cabo san lucas,22.89,74.25,60,5,10.29
victoria,5.28,79.7,94,75,4.21
isangel,-19.55,78.3,100,36,16.67
faanui,-16.48,83.34,100,68,6.82
trelew,-43.25,66.24,20,88,15.84
souillac,45.6,39.99,93,0,5.82
los llanos de aridane,28.66,62.6,67,68,8.05
deputatskiy,69.3,-36.55,66,44,2.53
sitka,37.17,43.87,32,0,5.77
druskininkai,54.02,25.15,90,92,14.65
illoqqortoormiut,nan,nan,nan,nan,nan
qaqortoq,60.72,29.7,100,92,25.17
ponta do sol,-20.63,64.44,97,32,5.26
inderborskiy,nan,nan,nan,nan,nan
cape town,-33.93,66.2,82,20,18.34
pochutla,15.74,81.41,65,40,11.41
bluff,-23.58,78.07,88,76,12.93
ozinki,51.2,-2.44,73,48,3.09
tumannyy,nan,nan,nan,nan,nan
sechura,-5.56,76.05,79,24,10.02
batagay-alyta,67.8,-45.41,0,12,2.57
tumsar,21.38,46.17,76,0,5.99
dzaoudzi,-12.79,82.4,88,75,5.82
kruisfontein,-34,63.45,97,92,4.88
mys shmidta,nan,nan,nan,nan,nan
colares,38.8,42.6,53,0,2.24
hilo,19.71,77,66,75,13.87
junction city,39.03,46.63,39,1,12.59
vila,45.18,30.2,100,90,1.12
torbay,47.66,19.4,85,90,24.16
upernavik,72.79,-2.75,100,68,9.57
taolanaro,nan,nan,nan,nan,nan
marystown,47.17,18.18,100,0,15.1
linxia,35.6,-1.58,60,0,2.24
arraial do cabo,-22.97,78.8,74,0,14.99
puerto ayora,-0.74,82.4,65,20,18.34
saint-pierre,48.95,39.79,80,90,17.22
byron bay,-28.65,79.68,65,100,9.17
bulungu,-4.54,68.85,100,92,5.59
klaksvik,62.23,32,100,24,1.12
cockburn town,21.46,78.79,99,48,14.94
kavieng,-2.57,84.55,100,88,8.72
ganzhou,25.86,41.8,100,92,3.24
vaitupu,nan,nan,nan,nan,nan
ust-nera,64.57,-43.61,93,56,2.01
lebu,8.96,50,34,20,4.7
khatanga,71.98,-17.06,74,64,1.74
baijiantan,45.63,-23.18,34,48,3.2
